;Nome;Referencia;Saldo0;Data0;Excedente1;Data2;Excedente3;Data4;Excedente5;Data6;Excedente7;Data8;Excedente9;Data10;Excedente11;Data12;Excedente13
0;Valor não encontrado;61190000A ;;;;;;;;;;;;;;;
1;RV NORDICO SNOW AC 32X59 R;61190016A ;"Armazem
1106,27";;;;;;;;;;;;;;
2;INS CYGNUS 32X59 R;61190174A ;"Armazem
3160,61";;;;;;;;;;;;;;
3;INS REALE PATCH 32X59 R;61190176A ;"Armazem
148,03";;;;;;;;;;;;;;
4;INS FLER BRANCO AC 32X59 R;61190200A ;"Armazem
9058,08";;;;;;;;;;;;;;
5;INS FLER BEGE AC 32X59 R;61190202A ;"Armazem
9958,69";;;;;;;;;;;;;;
6;Valor não encontrado;61190204A ;;;;;;;;;;;;;;;
7;RV PRESTIGE CREMA AC 32X59 R;61190234A ;"Armazem
1801,22";;;;;;;;;;;;;;
8;INS MIXDECOR MULTICOR AC 32X59 R;61190238A ;"Armazem
2629,51";;;;;;;;;;;;;;
9;INS MIXDECOR SOFT AC 32X59R;61190240A ;"Armazem
607,94";;;;;;;;;;;;;;
10;RV ONICE AC 30X90,2 R;61190246A ;"Armazem
48,60";;;;;;;;;;;;;;
11;INS LUDO WHITE AC 32X59 R;61190248A ;"Armazem
9253,76";;;;;;;;;;;;;;
12;INS LUDO WHITE BR 32X59 R;61190250A ;"Armazem
6327,00";;;;;;;;;;;;;;
13;INS LUDO BLACK AC 32X59 R;61190252A ;"Armazem
9047,80";;;;;;;;;;;;;;
14;RV NORDICO SNOW 30X90,2 R;61220004A ;"Armazem
2588,76"; 21/05/2022 ; 85,32 M2;;;;;;;;;;;;
15;RV NORDICO SNOW AC 30X90,2 R;61220006A ;"Armazem
120,96"; 08/06/2022 ; 39,69 M2; 31/05/2022 ; 95,85 M2;;;;;;;;;;
16;RV CALACATA AC 30X90,2 R;61220096A ;"Armazem
1919,16";;;;;;;;;;;;;;
17;INS CALACATA AC 30X90,2 R;61220098A ;"Armazem
4527,36";;;;;;;;;;;;;;
18;INS FLOREST GLASS AC 30X90,2 R;61220102A ;"Armazem
488,16";;;;;;;;;;;;;;
19;INS ALAMO GLASS NAT AC 30X90,2R;61220104A ;"Armazem
578,88";;;;;;;;;;;;;;
20;Valor não encontrado;61220106A ;;;;;;;;;;;;;;;
21;INS ALFAMA MULTICOR AC 30X90,2 R;61220108A ;"Armazem
2612,52";;;;;;;;;;;;;;
22;INS ALAMO MARROM AC 30X90,2 R;61220112A ;"Armazem
399,60";;;;;;;;;;;;;;
23;INS SHAPE MULTICOR AC 30X90,2 R;61220114A ;"Armazem
3681,72";;;;;;;;;;;;;;
24;INS RISCA BRANCO AC 30X90,2 R;61220118A ;"Armazem
2365,20"; 28/05/2022 ; 34,29 M2;;;;;;;;;;;;
25;INS LUX WHITE BR 30X90,2 R;61220120A ;"Armazem
2088,99"; 10/07/2022 ; 2882,79 M2;;;;;;;;;;;;
26;INS LUX SALVIA BR 30X90,2 R;61220122A ;"Armazem
1296,81";;;;;;;;;;;;;;
27;INS LUX FENDI BR 30X90,2 R;61220124A ;"Armazem
27,54"; 10/07/2022 ; 1720,71 M2;;;;;;;;;;;;
28;INS LUX WHITE AC 30X90,2 R;61220126A ;"Armazem
2986,47"; 08/07/2022 ; 1625,94 M2; 29/06/2022 ; 2410,02 M2;;;;;;;;;;
29;INS ONICE AC 30X90,2 R;61220128A ;"Armazem
1546,56"; 30/05/2022 ; 33,75 M2;;;;;;;;;;;;
30;INS CALACATA MOSAIC AC 30X90,2 R;61220130A ;"Armazem
1014,12";;;;;;;;;;;;;;
31;INS BLOSSOM BLUE AC 30X90,2 R;61220132A ;"Armazem
849,96";;;;;;;;;;;;;;
32;RV GLACIAL SNOW 33X60;61300004A ;"Armazem
6278,40"; 23/07/2022 ; 199,17 M2; 17/06/2022 ; 11357,60 M2;;;;;;;;;;
33;RV GLACIAL SNOW AC 33X60;61300006A ;"Armazem
22809,34"; 14/07/2022 ; 154,78 M2; 19/06/2022 ; 103,25 M2;;;;;;;;;;
34;RV GLACIAL OFF WHITE 33X60;61300008A ;"Armazem
5650,56";;;;;;;;;;;;;;
35;RV GLACIAL SOFT BEGE 33X60;61300010A ;"Armazem
2884,14";;;;;;;;;;;;;;
