;Nome;Saldo0;Referencias;Data0;Excedente1;Data2;Excedente3;Data4;Excedente5;Data6;Excedente7;Data8;Excedente9;Data10;Excedente11
0;MOSAICO OXI RUSTY 30,3X30,3;"Armazem
2079";71000000A ;;;;;;;;;;;;
1;Não encontrado;;74690000A ;;;;;;;;;;;;
2;INS TULE NUDE MT 30X90,2 R;"Armazem
2248";BO01AW361 ;;;;;;;;;;;;
3;LM CALACATA GOLD MT 60X120 R;"Armazem
1522,95";F070154GO1 ; 31/08/2022 ; 82,36 M2; 05/06/2022 ; 78,81 M2;;;;;;;;
4;LM CALACATA GOLD MC 60X120 R;;F070254GO1 ; 31/08/2022 ; 88,04 M2; 12/06/2022 ; 191,70 M2;;;;;;;;
5;LM LOUNGE OAK MT 20X120 R;"Armazem
161,46";F1201C5741 ;;;;;;;;;;;;
6;LM LOUNGE NATURAL MT 20X120 R;"Armazem
723,12";F1201C5NT1 ;;;;;;;;;;;;
7;Não encontrado;;F14013N091 ;;;;;;;;;;;;
8;Não encontrado;;F14013N151 ;;;;;;;;;;;;
9;Não encontrado;;F14013N211 ;;;;;;;;;;;;
10;Não encontrado;;F1401JE011 ;;;;;;;;;;;;
11;Não encontrado;;F1401JEDE1 ;;;;;;;;;;;;
12;Não encontrado;;F3401FY011 ;;;;;;;;;;;;
13;RV PURE LOW WHITE MT 21,5X21,5;"Armazem
639,63";F3402FY011 ;;;;;;;;;;;;
14;LM HANGAR CEMENT ABS 120X120 R;"Armazem
2,85";F3601E8021 ; 31/10/2022 ; 22,80 M2;;;;;;;;;;
15;LM HANGAR CEMENT MT 120X120 R;"Armazem
387,60";F3602E8021 ;;;;;;;;;;;;
16;LM SAHARA NOIR MC 120X120 R;;F3901E8161 ; 30/09/2022 ; 196,65 M2; 31/08/2022 ; 69,82 M2; 28/05/2022 ; 49,88 M2;;;;;;
17;LM SAHARA NOIR MT 120X120 R;"Armazem
74,10";F3902E8161 ; 30/11/2022 ; 116,85 M2;;;;;;;;;;
18;PS SEA TURMALINA 20X20;"Armazem
172,28";F4001MB151 ;;;;;;;;;;;;
19;PS SEA AQUAMARINE 20X20;"Armazem
1473,82";F4001MB211 ;;;;;;;;;;;;
20;PS SEA FLOC TURMALINA 20X20;"Armazem
1446,68";F4002MB151 ;;;;;;;;;;;;
21;PS SEA JADE 20X20;"Armazem
217,12";F4002MB211 ;;;;;;;;;;;;
22;PS SEA FLOC AQUAMARINE 20X20;"Armazem
574,66";F4003MB211 ;;;;;;;;;;;;
23;PS SEA FLOC JADE 20X20;"Armazem
706,82";F4004MB211 ;;;;;;;;;;;;
24;LM VENATO BLACK MT 60X120 R;"Armazem
300,33";F460154161 ; 31/08/2022 ; 131,35 M2; 06/06/2022 ; 3494,62 M2;;;;;;;;
25;LM VENATO BLACK MC 60X120 R;;F460254161 ; 31/08/2022 ; 408,96 M2; 13/06/2022 ; 1996,52 M2;;;;;;;;
26;RV QUASAR WHITE MT 15X17,5;"Armazem
8,80";F5601GM011 ;;;;;;;;;;;;
27;RV QUASAR BLACK MT 15X17,5;"Armazem
283,20";F5601GM161 ;;;;;;;;;;;;
28;RV QUASAR GRAY MT 15X17,5;"Armazem
130,60";F5602GM021 ;;;;;;;;;;;;
29;INS PLIER WHITE MT 30X90,2 R;"Armazem
861,03";F5O07AW011 ; 03/07/2022 ; 6532,11 M2;;;;;;;;;;
30;LM HOME WHITE MT 20X120 R;"Armazem
898,38";F6201C5011 ;;;;;;;;;;;;
31;LM HOME GRAY MT 20X120 R;"Armazem
950,82";F6201C5021 ;;;;;;;;;;;;
32;LM HOME DENIM MT 20X120 R;"Armazem
752,10";F6201C5151 ;;;;;;;;;;;;
33;LM HOME BLACK MT 20X120 R;"Armazem
27,60";F6201C5161 ;;;;;;;;;;;;
34;RV BAUHAUS WHITE MT 21,5X21,5;"Armazem
292,95";F7001FY011 ;;;;;;;;;;;;
35;RV BAUHAUS BLUE MT 21,5X21,5;"Armazem
39,99";F7001FY151 ;;;;;;;;;;;;
36;RV BAUHAUS GRAPHITE MT 215X21,5;"Armazem
600,78";F7001FY161 ;;;;;;;;;;;;
37;Não encontrado;;F76011P011 ;;;;;;;;;;;;
38;Não encontrado;;F76011P021 ;;;;;;;;;;;;
39;Não encontrado;;F76011P161 ;;;;;;;;;;;;
40;PS UNO WHITE MT 20X20;"Armazem
1368,80";F770120011 ;;;;;;;;;;;;
41;PS UNO GRAY MT 20X20;"Armazem
188,80";F770120021 ;;;;;;;;;;;;
42;PS UNO BLACK MT 20X20;"Armazem
1571,76";F770120161 ;;;;;;;;;;;;
43;PS UNO EDGE MT 20X20;"Armazem
154,58";F770120991 ;;;;;;;;;;;;
44;Não encontrado;;F7701MB011 ;;;;;;;;;;;;
45;Não encontrado;;F7701MB161 ;;;;;;;;;;;;
46;Não encontrado;;F7701MB991 ;;;;;;;;;;;;
47;PS UNO FOLD MT 20X20;"Armazem
297,36";F770220991 ;;;;;;;;;;;;
48;Não encontrado;;F7702MB021 ;;;;;;;;;;;;
49;PS UNO VENICE BLOOM 20X20;"Armazem
162,84";F7702MB991 ;;;;;;;;;;;;
50;PS UNO LINE MT 20X20;"Armazem
221,84";F770320991 ;;;;;;;;;;;;
51;Não encontrado;;F7703MB991 ;;;;;;;;;;;;
52;PS UNO STRIP MT 20X20;"Armazem
240,72";F770420991 ;;;;;;;;;;;;
53;PS UNO GATE MT 20X20;"Armazem
2,36";F770520991 ;;;;;;;;;;;;
54;PS UNO FRAME MT 20X20;"Armazem
89,68";F770620991 ;;;;;;;;;;;;
55;LM FULL CONCRET MC 100X200 R;"Armazem
316";F8801ZF021 ;;;;;;;;;;;;
56;LM FULL CONCRET MT 100X200 R;;F8802ZF021 ; 25/06/2022 ; 426 M2;;;;;;;;;;
57;LM COTTO MOSS MC 120X120 R;;FA101E8451 ; 31/08/2022 ; 769,50 M2;;;;;;;;;;
58;LM COTTO ROSSO MC 120X120 R;"Armazem
74,10";FA101E8581 ;;;;;;;;;;;;
59;LM COTTO MOSS ST 120X120 R;;FA102E8451 ; 31/07/2022 ; 738,15 M2;;;;;;;;;;
60;LM COTTO ROSSO ST 120X120 R;"Armazem
11,40";FA102E8581 ; 30/11/2022 ; 1405,05 M2; 31/07/2022 ; 54,15 M2;;;;;;;;
61;PE TOUCH GRIS POL 60X120 R;"Armazem
440,20";FBM0154021 ;;;;;;;;;;;;
62;INS WHITE STRIP MT 30X90,2 R;"Armazem
384,48";FBQ01AW011 ;;;;;;;;;;;;
63;INS PLIER BLACK MT 30X90,2 R;"Armazem
2413,80";FCG01AW161 ; 04/07/2022 ; 2260,98 M2;;;;;;;;;;
64;INS PLIER SAGE MT 30X90,2 R;"Armazem
1623,24";FCG01AW211 ;;;;;;;;;;;;
65;PP BRICK PIEMONTE ROBLE 7,5X30;"Armazem
994,50";FCK011P251 ;;;;;;;;;;;;
66;MOSAICO PIEMONTE ROBLE 25X45;"Armazem
652,12";FCK0148251 ;;;;;;;;;;;;
67;Não encontrado;;FCK01AW011 ;;;;;;;;;;;;
68;PS PORTO 20X20;"Armazem
578,20";FCP01FY051 ;;;;;;;;;;;;
69;PP ALVOR NATURAL MT 30X120 R;"Armazem
137,74";FDS015N251 ; 25/07/2022 ; 1802,69 M2;;;;;;;;;;
70;PP ALVOR NATURAL MT 16X120 R;"Armazem
539,52";FDS01AQ251 ;;;;;;;;;;;;
71;PP ALVOR NATURAL ABS 30X120 R;"Armazem
957,08";FDS025N251 ; 31/08/2022 ; 379,50 M2;;;;;;;;;;
72;PP ALVOR NATURAL ABS 16X120 R;"Armazem
27,84";FDS02AQ251 ;;;;;;;;;;;;
73;PE DUBAI ARENA MT 90X180 R;"Armazem
277,02";FE402ZF371 ;;;;;;;;;;;;
74;MALLA CONCEPT BROWN 30,1X30;"Armazem
847";FEG0130251 ;;;;;;;;;;;;
75;MALLA LUXE QUARTZ 23.1X18.7;"Armazem
341";FEH0125091 ;;;;;;;;;;;;
76;Não encontrado;;FEI01HD361 ;;;;;;;;;;;;
77;RV BRICK COLOR LIGHT BLUE 11X25;"Armazem
721,76";FEI02HD151 ;;;;;;;;;;;;
78;MALLA ETNA QUARTZ 29,4X29,4;"Armazem
385";FEJ012X331 ;;;;;;;;;;;;
79;INS LONDON GRAY MT 30X90,2 R;"Armazem
1604,88";FFX01AW021 ; 27/05/2022 ; 417,42 M2;;;;;;;;;;
